"","CD8T","CD4T","NK","Bcell","Mono","Neu"
"cpg",0.224349450212141,0.316280622135119,0.180000523472127,0.322944448798213,0,0
"chg",0.208990172897408,0.251281305784695,0.222396222427538,0.284707307794148,0,0
"chh",0.274231929921544,0.182218329120048,0.20669420501503,0.294481648108801,0,0
